# Revision 1.0,,,,,,,,,,,,,,,
"# October 26, 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIFCL-17,,,,,,,,,LIFCL-40,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS
M3,PB24A,5,-,True_OF_PB24B,TRUE,BDQ22,,,M3,PL47A,6,-,True_OF_PL47B,-,-
M4,PB18B,5,PCLKC5_0/CDR_RXN1/ADC_CN1/COMP2N,Comp_OF_PB18A,TRUE,BDQ22,,,M4,PB6B,5,PCLKC5_0/CDR_RXN1/ADC_CN1/COMP2N,Comp_OF_PB6A,TRUE,-
M5,VSS,-,-,-,-,-,,,M5,VSS,-,-,-,-,-
M6,VCCAUXH5,5,-,-,-,-,,,M6,VCCAUXH5,-,-,-,-,-
M7,PB20B,5,PCLKC5_1/LLC_GPLL0C_IN/ADC_CN3,Comp_OF_PB20A,TRUE,BDQ22,,,M7,PB8B,5,PCLKC5_1/LLC_GPLL0C_IN/ADC_CN3,Comp_OF_PB8A,TRUE,-
M8,NC,-,-,-,-,-,,,M8,PB38B,4,-,Comp_OF_PB38A,TRUE,BDQSN38
M9,NC,-,-,-,-,-,,,M9,PB38A,4,-,True_OF_PB38B,TRUE,BDQS38
N1,PB28B,5,-,Comp_OF_PB28A,TRUE,BDQ22,,,N1,PL49B,6,-,Comp_OF_PL49A,-,-
N10,NC,-,-,-,-,-,,,N10,PB46B,4,VREF4_2,Comp_OF_PB46A,TRUE,BDQ38
N11,NC,-,-,-,-,-,,,N11,PB64B,3,ADC_CN4,Comp_OF_PB64A,TRUE,BDQ60
N12,NC,-,-,-,-,-,,,N12,PB64A,3,ADC_CP4,True_OF_PB64B,TRUE,BDQ60
N13,NC,-,-,-,-,-,,,N13,PB70B,3,COMP2IN,Comp_OF_PB70A,TRUE,BDQ76
N14,PB68B,3,PCLKC3_3/ADC_CN14,Comp_OF_PB68A,TRUE,BDQ62,,,N14,PB74B,3,PCLKC3_3/ADC_CN14,Comp_OF_PB74A,TRUE,BDQ76
N15,NC,-,-,-,-,-,,,N15,PB76B,3,COMP3IN,Comp_OF_PB76A,TRUE,BDQSN76
N16,NC,-,-,-,-,-,,,N16,PB76A,3,COMP3IP,True_OF_PB76B,TRUE,BDQS76
N2,PB28A,5,-,True_OF_PB28B,TRUE,BDQ22,,,N2,PL49A,6,-,True_OF_PL49B,-,-
N3,PB16B,5,CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB16A,TRUE,BDQ22,,,N3,PB4B,5,CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB4A,TRUE,-
N4,PB18A,5,PCLKT5_0/CDR_RXP1/ADC_CP1/COMP2P,True_OF_PB18B,TRUE,BDQ22,,,N4,PB6A,5,PCLKT5_0/CDR_RXP1/ADC_CP1/COMP2P,True_OF_PB6B,TRUE,-
N5,VCCIO5,5,-,-,-,-,,,N5,VCCIO5,5,-,-,-,-
N6,VCCIO4,4,-,-,-,-,,,N6,VCCIO4,4,-,-,-,-
N7,VSS,-,-,-,-,-,,,N7,VSS,-,-,-,-,-
